,Project,project name,source,gis,latitude,longitude,Lat Long Values,new price,old price,type,pincode,address,size,BHK,city,RERA Approved
67,Stand Alone,Stand Alone,Konu,,17.469936,78.361035,,7473,,Stand Alone,500084,#N/A,1340,,,no
68,Stand Alone,Stand Alone,Konu,,17.4665655,78.3406027,,6250,,Stand Alone,500084,#N/A,1234.5,,,no
69,Stand Alone,Stand Alone,Konu,,17.467658,78.3406936,,8100,,Stand Alone,500084,#N/A,967,,,no
70,Stand Alone,Stand Alone,Konu,,17.4688515,78.3414325,,7500,,Stand Alone,500084,#N/A,942.5,,,no
71,Stand Alone,Stand Alone,Konu,,17.462805,78.35747,,8500,,Stand Alone,500084,#N/A,300,,,no
72,Ramky Harmony,Gated Community Apartment,Konu,2002,17.531184,78.39062,,7000,,Gated community / Apartment,500084,#N/A,1000,,,no
73,Greenmark Galaxy Apartments,Gated Community Apartment,Konu,,17.471986,78.358999,,4110,,Gated community / Apartment,500084,,598,,,no
74,Casa Rouge Apartments,Gated Community Apartment,Konu,,17.462526,78.37062,,9271,,Gated community / Apartment,500084,#N/A,1537.25,,,no
75,Bridge Aquaria,Gated Community Apartment,Konu,,17.461452,78.344437,,7000,,Gated community / Apartment,500084,#N/A,997.75,,,no
76,aparna serene park back gate,Gated Community Apartment,Konu,,17.46339,78.338122,,13636,,Gated community / Apartment,500084,#N/A,1287,,,no
77,SMR Vinay Iconia,Gated Community Apartment,Konu,1719,17.469602,78.334441,,9000,,Gated community / Apartment,500084,#N/A,1664,,,no
78,Pranathi Sukriti,Gated Community Apartment,Konu,549,17.477294,78.348338,,7200,,Gated community / Apartment,500084,#N/A,1049.1,,,no
79,Udaya Cresent,Gated Community Apartment,Konu,11973,17.467981,78.36909,,9500,,Gated community / Apartment,500084,#N/A,1773.85,,,yes
80,360 life origin tower 2,Gated Community Apartment,Konu,12202,17.465841,78.37224,,13500,,Gated community / Apartment,500084,#N/A,1153,,,no
81,silpa's rv vibhuvan,Gated Community Apartment,Konu,495,17.478518,78.345353,,8200,,Gated community / Apartment,500084,#N/A,859,,,no
82,My Home Abhira,Gated Community Apartment,Konu,,17.433188,78.383678,,15400,,Gated community / Apartment,500081,#N/A,1238.25,,,no
83,My Home Bhooja,Gated Community Apartment,Konu,,17.433417,78.37661,,15500,,Gated community / Apartment,500081,#N/A,1228.5,,,no
84,Trendset Jayabheri Elevate,Gated Community Apartment,Konu,,17.456805,78.366905,,15400,,Gated community / Apartment,500081,#N/A,1575,,,yes
85,Nawadeepa,Gated Community Apartment,Konu,,17.447489,78.382524,,13500,,Gated community / Apartment,500081,#N/A,1183,,,no
86,Hallmark Express Tower,Gated Community Apartment,Konu,,17.454378,78.364874,,17647,,Gated community / Apartment,500081,#N/A,617.5,,,no
87,Vishnu Vistara,Gated Community Apartment,Konu,,17.461864,78.391801,,10500,,Gated community / Apartment,500081,#N/A,875,,,no
88,DSR Fortunr Prime,Gated Community Apartment,Konu,,17.439694,78.38879,,17500,,Gated community / Apartment,500081,#N/A,585,,,no
89,Sai Keerthi Prime Gated Community,Gated Community Apartment,Konu,,17.498677,78.322997,,4800,,Gated community / Apartment,500050,#N/A,1046,,,no
91,Janapriya Nile Valley,Gated Community Apartment,Konu,,17.511119,78.335588,,7100,,Gated community / Apartment,500050,#N/A,3900,,,no
92,Aparna Silver Oaks,Gated Community Apartment,Konu,,17.50339,78.326196,,9700,,Gated community / Apartment,500050,#N/A,750,,,no
93,JB GALAXY PROJECTS,Gated Community Apartment,Konu,,17.488725,78.32052,,6500,,Gated community / Apartment,500050,#N/A,1170.65,,,yes
94,Aparna Lake Breeze,Gated Community Apartment,Konu,,17.504815,78.32789,,8700,,Gated community / Apartment,500050,#N/A,833.95,,,no
95,divine alura,Gated Community Apartment,Konu,,17.499631,78.321799,,4000,,Gated community / Apartment,500050,,,,,no
96,BVR Nilayam,Gated Community Apartment,Konu,,17.502215,78.318937,,4500,,Gated community / Apartment,500050,#N/A,980,,,no
97,Sree SR Elegant Homes,Gated Community Apartment,Konu,,17.505568,78.329707,,7000,,Gated community / Apartment,500050,#N/A,984.75,,,no
98,Stand Alone,Stand Alone,Konu,,17.4536,78.3671,,8500,,Stand Alone,500081,#N/A,1371,,,no
99,Stand Alone,Stand Alone,Konu,,17.4547,78.3759,,7000,,Stand Alone,500081,#N/A,942.5,,,no
100,Stand Alone,Stand Alone,Konu,,17.4576778,78.3879621,,5200,,Stand Alone,500081,#N/A,1900,,,no
101,Stand Alone,Stand Alone,Konu,,17.4546381,78.3879481,,5000,,Stand Alone,500081,#N/A,1165,,,no
102,Stand Alone,Stand Alone,Konu,,17.4479598,78.3899134,,6000,,Stand Alone,500081,#N/A,1191,,,no
103,Stand Alone,Stand Alone,Konu,,17.454017,78.365513,,8900,,Stand Alone,500081,#N/A,1072.5,,,no
104,URBAN ABODE,Gated Community Apartment,Konu,,17.477289,78.226147,,5500,,Gated community / Apartment,502300,#N/A,1050,,,yes
105,Radhey Skye,Gated Community Apartment,Konu,,17.487202,78.244467,,6499,,Gated community / Apartment,502300,#N/A,1244.75,,,yes
106,Hallmark Vesta,Gated Community Apartment,Konu,,17.489322,78.234001,,5800,,Gated community / Apartment,502300,#N/A,1314,,,yes
107,Levonor Egeira,Gated Community Apartment,Konu,,17.480105,78.234179,,6600,,Gated community / Apartment,502300,#N/A,2054,,,no
108,Abinandana Skylark,Gated Community Apartment,Konu,,17.510104,78.240155,,5199,,Gated community / Apartment,502300,#N/A,1530,,,no
109,Hallmark Pinnacle,Gated Community Apartment,Konu,,17.446643,78.254175,,6199,,Gated community / Apartment,502300,#N/A,1267.5,,,no
110,Anvita Ivana,Gated Community Apartment,Konu,,17.512549,78.245242,,7299,,Gated community / Apartment,502300,#N/A,842,,,yes
111,Riddhi's Taranto,Gated Community Apartment,Konu,,17.436048,78.188066,,5400,,Gated community / Apartment,502300,#N/A,1423,,,no
112,Subishi Spark,Gated Community Apartment,Konu,,17.475008,78.132518,,3800,,Gated community / Apartment,501203,,,,,no
113,PVR Akash,Gated Community Apartment,Konu,,17.451045,78.147764,,4800,,Gated community / Apartment,501203,#N/A,917,,,yes
114,"SUBISHI’s Spark Luxury Apartments,",Gated Community Apartment,Konu,,17.475823,78.132166,,5700,,Gated community / Apartment,501203,,1650,,,no
115,Aakanksha Royal Palms,Gated Community Apartment,Konu,,17.449904,78.140066,,4600,,Gated community / Apartment,501203,#N/A,984.75,,,no
116,Mani Sanctum Homes,Gated Community Apartment,Konu,,17.452448,78.142665,,4080,,Gated community / Apartment,501203,#N/A,1131,,,no
117,Reliance Courtyard,Gated Community Apartment,Konu,,17.449907,78.150676,,4300,,Gated community / Apartment,501203,#N/A,1129.05,,,yes
118,PVR Kshetra,Gated Community Apartment,Konu,,17.455066,78.137651,,4800,,Gated community / Apartment,501203,#N/A,911,,,yes
119,Nikhila Royal Pavilion,Gated Community Apartment,Konu,,17.436019,78.188167,,4900,,Gated community / Apartment,501203,#N/A,682.5,,,no
120,Amanteja Neeladri Basil,Gated Community Apartment,Konu,,17.448549,78.187293,,4400,,Gated community / Apartment,501203,#N/A,1472,,,no
121,Ankura Urban Trilla,Gated Community Apartment,Konu,,17.450178,78.177689,,6000,,Gated community / Apartment,501203,#N/A,1189,,,no
122,RKs Oxygen Homes,Gated Community Apartment,Konu,,17.540649,78.398723,,5900,,Gated community / Apartment,500090,#N/A,1481,,,yes
123,Risinia Intelli Park,Gated Community Apartment,Konu,,17.538943,78.360976,,4800,,Gated community / Apartment,500090,#N/A,906,,,no
124,Annes Fortune Greenhomes Swan,Gated Community Apartment,Konu,,17.517266,78.376822,,6800,,Gated community / Apartment,500090,#N/A,1250,,,no
125,Urbanrise Opulence,Gated Community Apartment,Konu,,17.528954,78.3644,,7000,,Gated community / Apartment,500090,#N/A,942.5,,,yes
126,Praneeth Pranav Townsquare,Gated Community Apartment,Konu,,17.545849,78.374414,,6700,,Gated community / Apartment,500090,#N/A,539.5,,,no
127,Praneeth Pranav Solitaire,Gated Community Apartment,Konu,,17.542997,78.371323,,6599,,Gated community / Apartment,500090,#N/A,1674.4,,,yes
128,Gothic Pentagon Clouds,Gated Community Apartment,Konu,,17.545156,78.370479,,5499,,Gated community / Apartment,500090,#N/A,1050,,,yes
129,Risinia The Twinz,Gated Community Apartment,Konu,,17.550154,78.404292,,5500,,Gated community / Apartment,500090,#N/A,1108.25,,,no
130,Risinia Skyon,Gated Community Apartment,Konu,,17.544841,78.37384,,6300,,Gated community / Apartment,500090,,1235,,,no
131,Urbanrise On Cloud 33,Gated Community Apartment,Konu,,17.539502,78.358134,,7399,,Gated community / Apartment,500090,#N/A,984.75,,,no
132,PVR Anmol,Gated Community Apartment,Konu,,17.533735,78.349853,,6000,,Gated community / Apartment,500090,#N/A,1154,,,yes
133,Risinia Scintilla,Gated Community Apartment,Konu,,17.538887,78.359675,,6500,,Gated community / Apartment,500090,#N/A,1170,,,yes
134,Vasavi Urban,Gated Community Apartment,Konu,,17.541836,78.385401,,6842,,Gated community / Apartment,500090,#N/A,979.55,,,no
135,PRAGATHI'S RAGHUPATHI COUNTY,Gated Community Apartment,Konu,,17.537981,78.391783,,6100,,Gated community / Apartment,500090,#N/A,1584,,,no
136,MAKUTA MY SPACE 2,Gated Community Apartment,Konu,,17.542832,78.388189,,6500,,Gated community / Apartment,500090,#N/A,1137.5,,,no
137,Stand Alone,Stand Alone,Konu,,17.443029,78.269592,,11000,,Stand Alone,502300,#N/A,1397,,,no
138,Stand Alone,Stand Alone,Konu,,17.476072,78.238198,,5312,,Stand Alone,502300,#N/A,1266,,,no
139,Stand Alone,Stand Alone,Konu,,17.455021,78.143478,,6200,,Stand Alone,501203,#N/A,1267.5,,,no
140,Stand Alone,Stand Alone,Konu,,17.451384,78.144313,,6000,,Stand Alone,501203,#N/A,1154,,,no
141,sunyuga vista,Gated Community Apartment,Konu,,17.557131,78.466689,,4600,,Gated community,500100,#N/A,942.5,,,yes
142,primark econest,Gated Community Apartment,Konu,,17.563842,78.469212,,5000,,Gated community,500100,#N/A,1266,,,no
143,om sree galaxy,Gated Community Apartment,Konu,,17.56133,78.488866,,7300,,Gated community,500100,#N/A,842,,,no
144,park wood towers,Gated Community Apartment,Konu,,17.571077,78.495362,,5600,,Gated community,500100,#N/A,1950,,,yes
145,Makuta Horizon & Prime,Gated Community Apartment,Konu,,17.543204,78.478274,,7599,,Gated community,500100,#N/A,1371,,,no
146,om sree sky park,Gated Community Apartment,Konu,,17.533701,78.477328,,8000,,Gated community,500100,,741,,,no
147,delight fortune homes,Gated Community Apartment,Konu,,17.548415,78.491282,,5600,,Gated community,500100,#N/A,1897,,,no
148,sree vari pride,Gated Community Apartment,Konu,,17.539375,78.487724,,5400,,Gated community,500100,#N/A,754,,,no
2022172,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571,,Gated community / Apartment,500094,"Sainikpuri, Hyderabad",897,,,yes
2022173,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571,,Gated community / Apartment,500094,"Sainikpuri, Hyderabad",900,,,yes
2022174,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571,,Gated community / Apartment,500094,"Sainikpuri, Hyderabad",900,,,yes
2022176,"GK Casa Grande, Yapral, Hyderabad",GK Casa Grande,"3rd party, Property Science",,17.514976,78.540068,,9286,,Stand Alone / Apartment,500078,"Yapral, Hyderabad",1674.4,,,no
2022177,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571,,Gated community / Apartment,500094,"Sainikpuri, Hyderabad",905,,,yes
2022178,"CNR Quality Signature, Alwal, Hyderabad",CNR Quality Signature,"3rd party, Property Science",,17.50117514,78.49625904,,7429,,Gated community / Apartment,500010,,745.55,,,yes
2022179,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571,,Gated community / Apartment,500094,"Sainikpuri, Hyderabad",900,,,yes
2022180,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571,,Gated community / Apartment,500094,,828.75,,,yes
2022181,"GK Casa Grande, Yapral, Hyderabad",GK Casa Grande,"3rd party, Property Science",,17.514976,78.540068,,9286,,Stand Alone / Apartment,500078,"Yapral, Hyderabad",2054,,,no
2022182,"GK Casa Grande, Yapral, Hyderabad",GK Casa Grande,"3rd party, Property Science",,17.514976,78.540068,,9286,,Stand Alone / Apartment,500078,"Yapral, Hyderabad",1701,,,no
